stddev_open,close_perc,history_secs,abs_slope_max,win_secs,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
20.0,0.3,0.5,0.0001,0.2,0.1333,4,26,2.2211,1.7604,26.43,0.0,30
20.0,0.3,0.5,0.0001,0.5,0.1333,4,26,2.2211,1.7604,26.43,0.0,30
20.0,0.3,0.5,0.0001,1.0,0.1333,4,26,2.2211,1.7604,26.43,0.0,30
20.0,0.3,1.0,0.0001,0.2,0.1333,4,26,2.2211,1.7611,26.43,0.0,30
20.0,0.3,1.0,0.0001,0.5,0.1333,4,26,2.2211,1.7611,26.43,0.0,30
20.0,0.3,1.0,0.0001,1.0,0.1333,4,26,2.2211,1.7611,26.43,0.0,30
20.0,0.3,2.0,0.0001,0.2,0.1333,4,26,2.2211,1.7724,26.43,0.0,30
20.0,0.3,2.0,0.0001,0.5,0.1333,4,26,2.2211,1.7724,26.43,0.0,30
20.0,0.3,2.0,0.0001,1.0,0.1333,4,26,2.2211,1.7724,26.43,0.0,30
20.0,0.5,0.5,0.0001,0.2,0.1333,4,26,2.2211,1.7604,26.43,0.0,30
20.0,0.5,0.5,0.0001,0.5,0.1333,4,26,2.2211,1.7604,26.43,0.0,30
20.0,0.5,0.5,0.0001,1.0,0.1333,4,26,2.2211,1.7604,26.43,0.0,30
20.0,0.5,1.0,0.0001,0.2,0.1333,4,26,2.2211,1.7611,26.43,0.0,30
20.0,0.5,1.0,0.0001,0.5,0.1333,4,26,2.2211,1.7611,26.43,0.0,30
20.0,0.5,1.0,0.0001,1.0,0.1333,4,26,2.2211,1.7611,26.43,0.0,30
20.0,0.5,2.0,0.0001,0.2,0.1333,4,26,2.2211,1.7724,26.43,0.0,30
20.0,0.5,2.0,0.0001,0.5,0.1333,4,26,2.2211,1.7724,26.43,0.0,30
20.0,0.5,2.0,0.0001,1.0,0.1333,4,26,2.2211,1.7724,26.43,0.0,30
20.0,0.7,0.5,0.0001,0.2,0.1333,4,26,2.2211,1.7078,26.43,0.0,30
20.0,0.7,0.5,0.0001,0.5,0.1333,4,26,2.2211,1.7078,26.43,0.0,30
20.0,0.7,0.5,0.0001,1.0,0.1333,4,26,2.2211,1.7078,26.43,0.0,30
20.0,0.7,1.0,0.0001,0.2,0.1333,4,26,2.2211,1.7084,26.43,0.0,30
20.0,0.7,1.0,0.0001,0.5,0.1333,4,26,2.2211,1.7084,26.43,0.0,30
20.0,0.7,1.0,0.0001,1.0,0.1333,4,26,2.2211,1.7084,26.43,0.0,30
20.0,0.7,2.0,0.0001,0.2,0.1333,4,26,2.2211,1.7198,26.43,0.0,30
20.0,0.7,2.0,0.0001,0.5,0.1333,4,26,2.2211,1.7198,26.43,0.0,30
20.0,0.7,2.0,0.0001,1.0,0.1333,4,26,2.2211,1.7198,26.43,0.0,30
2.0,0.3,0.5,0.0001,0.2,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,0.5,0.0001,0.5,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,0.5,0.0001,1.0,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,1.0,0.0001,0.2,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,1.0,0.0001,0.5,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,1.0,0.0001,1.0,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,2.0,0.0001,0.2,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,2.0,0.0001,0.5,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.3,2.0,0.0001,1.0,0.1,3,27,1.7082,2.3435,48.99,0.0,30
2.0,0.5,0.5,0.0001,0.2,0.1,3,27,1.7082,2.3042,48.99,0.0,30
